Pronomen,IPA,Typs
mein,maɪ̯n,Possessivpronomen
dein,daɪ̯n,Possessivpronomen
ihr,iːɐ̯,Possessivpronomen
sein,zaɪ̯n,Possessivpronomen
beide,ˈbaɪ̯də,Indefinitpronomen
bisschen,ˈbɪsçən,Indefinitpronomen
einige,ˈaɪ̯nɪɡə,Indefinitpronomen:Numerale
kein,kaɪ̯n,Indefinitpronomen
all,al,Indefinitpronomen
etwas,ˈɛtvas,Indefinitpronomen
anderer,ˈandəʁɐ,Indefinitpronomen
manch,manç,Indefinitpronomen
mehrere,ˈmeːʁəʁə,Indefinitpronomen
jemand,ˈjeːmant,Indefinitpronomen
das,das,Demonstrativpronomen
jeder,ˈjeːdɐ,Indefinitpronomen
welche,ˈvɛlçə,Interrogativpronomen
selbst,zɛlpst,Demonstrativpronomen
jedes,ˈjeːdəs,Indefinitpronomen:Deklination.jeder
